Titre du poste,Entreprise,Adresse,Salaire,Decription,date
Développeur Frontend React | E-commerce Bio & Solidaire |...,Octopus IT,Paris 8e (75),,"En moins de 3 ans, elle emploie 80 personnes, réalise plus de 11 millions € de CA et vient de lever 6 millions d’euros. Mettre en place les tests automatisés.",Postedil y a 30+ jours
nouveauBusiness Developer F/H,Solinki,Paris 2e (75),,33 - 36 k€ brut annuel. Prospection pour développer notre réseau d’agences immobilières partenaires. Participation à différents événements clés.,Postedil y a 4 jours
Ad-hoc Static Analysis of Octez,Nomadic Labs,Paris (75),,A knowledge in the tools used by developers to collaborate to develop Octez would be a nice bonus. Nomadic Labs is looking for a Ad-hoc Static Analysis of Octez…,Postedil y a 30+ jours
nouveauStage Business Developer H/F,Televic Conference France,Télétravail in Puteaux (92),,"Nous sommes *Televic Conference France*, filiale du groupe belge Televic, spécialisé dans les systèmes de communication. Type d'emploi : Temps plein, Stage.",Postedil y a 7 jours
CDI BUSINESS DEVELOPER (GOOGLE ADS & SOCIAL ADS),Adsvisers,92300 Levallois-Perret,,CDI BUSINESS DEVELOPER (GOOGLE ADS & SOCIAL ADS…,Postedil y a 30+ jours
Développement Commercial International H/F,VALGO,Paris 8e (75),,"Suivre et analyser les résultats commerciaux,. Réorienter si nécessaire le plan d'action commerciale. Diplômé(e) d’une grande école de commerce type HEC / ESSEC…",Postedil y a 15 jours
Ingénieur Commercial / Business Developer F/H,Conseils-Plus,Paris (75),50 000 € - 90 000 € par an,Nous recherchons un profil de chasseur qui témoigne de plus de trois années d’expériences comme business developer.,Postedil y a 30+ jours
nouveauDéveloppeur Full Stack H/F,MADO XR,Télétravail temporaire in 75016 Paris 16e,45 000 € - 65 000 € par an,Miruu.io is a virtual workspace opening portals to 3D metaverses via simple web link. The platform allows creators to collaborate in real-time 3D with their…,PostedAujourd'hui
Stage Chef de Projet Chatbot,Meetic,Télétravail in 75009 Paris,,Rejoignez les équipes Meetic pour innover au croisement des équipes Chatbot/Innovation et Customer Care pour travailler en mode startup dans un contexte…,Postedil y a 15 jours
Business Developer (F/H) - Alternance/ Stage - Paris (75),Studi CFA,75004 Paris 4e,,"Développement commercial (80%) : Qualification et Réponse aux demandes entrantes, conseiller et orienter nos clients selon ses besoins, identifier les…",Postedil y a 12 jours
Senior PHP / Laravel Developer (Full Remote),Sept Lieues,Télétravail in 75002 Paris 2e,80 000 € - 100 000 € par an,Vous intégrez l'équipe back-end et évoluerez dans un environnement Agile/Scrum avec une culture du clean code. La connaissance du framework Laravel est un plus.,Postedil y a 30+ jours
Business Developer (H/F) - CDI,LexisNexis,Paris (75),,"L’équipe est à la recherche d’un business developer pour booster sa croissance. Forte d’une équipe de 15 personnes en pleine croissance, Closd accompagne déjà…",Postedil y a 12 jours
Product Front Office Financial Engineering - Interest Rates...,Murex,Paris (75),,"You will be working alongside financial engineers, consultants, quant analysts, model developers, model validators and product experts worldwide.",Postedil y a 30+ jours
nouveauSoftware Engineer in Test,"Tenable, Inc",Paris 8e (75),,"Learn daily about new attack patterns and software vulnerabilities. Net Core, Typescript, ReactJS, NodeJS, Cypress, Cucumber. Our main database is MSSQL Server.",Postedil y a 7 jours
Full Stack Developer H/F,MP Recruiting,Paris (75),,"Tu aimes mettre en prod car tu aimes avoir de l'impact. Tu tiens particulièrement à voir des vrais gens utiliser ton produit. Type d'emploi : Temps plein, CDI.",Postedil y a 30+ jours
Business Developer – Dentaire H/F,MedQuest,Paris (75),35 000 € - 47 000 € par an,Effectuer des actions commerciales tels que des webinaires. Se rendre sur le terrain pour rencontrer des partenaires potentiels si cela est nécessaire.,Postedil y a 30+ jours
HR and Office Manager,GitGuardian,75011 Paris 11e,,"You will report directly to the HR Director and work closely with the Finance Team. Ensure that it is clean, welcoming, and full of good vibes.",Postedil y a 19 jours
HR and Office Manager,GitGuardian,75011 Paris 11e,,"You will report directly to the HR Director and work closely with the Finance Team. Ensure that it is clean, welcoming, and full of good vibes.",Postedil y a 19 jours
OpenSource DevTools Engineer (Upstream Contributor),Scaleway,Télétravail in 75015 Paris,,To be and/or have been an open-source developer/maintainer is a big plus. We are looking for someone able to provide support for Scaleway’s ecosystem of…,Postedil y a 27 jours
Administrateur(rice) des Ventes pour un acteur historique du...,Data Recrutement,Paris (75),35 € par heure,"Gérer le suivi administratif des ventes (factures, suivis, relances, traitement des appels). Travailler en équipe avec les Business Developer (création de…",Postedil y a 30+ jours
Data Analyst,Shipup,Télétravail in 75010 Paris 10e,,"Engineering : 9 technical people (1 VP engineering, 2 lead developers/engineering managers, 1 senior front and 5 full-stack/back-end engineers).",Postedil y a 30+ jours
nouveauCloud Systems Developer - AWS/Azure,Cloud Reach,Paris (75),,The core mission of a Cloud Systems Developer is to deliver technical solutions using cutting edge technologies and industry best practices to implement cloud…,Postedil y a 5 jours
Senior Game Developer (M/F) - Paris,Madbox,Paris (75),,Designing and write high quality and robust code to be used by millions of users. Solving any challenges that might appear on the way.,Postedil y a 30+ jours
nouveauDigital Solutions Project Manager - Employee Engagement,Pernod Ricard,Paris (75),,"Coordinate IT consultants (developers and functional consultants). The Employee Engagement Project Manager will report to the Head of Digital, Sales, Marketing…",PostedAujourd'hui
Copywriter (English) H/F,Focus Entertainment,75019 Paris 19e,,"Written articles in collaboration with developers, for publication on our partners' sites (PlayStation Blog, Xbox Wire, etc.).",Postedil y a 30+ jours
Alternance - Business Developer H/F,Institut F2I,75017 Paris 17e,12 000 € - 24 000 € par an,Tu travailleras notamment en étroite collaboration l’équipe Marketing et Communication. De formation Bac + 2 à Bac + 5 type Ecole de commerce ou communication…,Postedil y a 30+ jours
Engineering Director - PayFit’s Growth Platform (He / She /...,PayFit,Paris (75),,"Lead, mentor and grow a talented team of Growth Engineers (4 full-stack, 1 back-end, 1 Salesforce developer) and SalesForce Product Product Managers (3 PMs).",Postedil y a 30+ jours
nouveauBusiness Developer en Data Consulting - Stage (H/F),Nexialog Consulting,75011 Paris,,Type de contrat : * Stage de 6 mois. Vous développez votre propre portefeuille commercial composé de clients grands comptes issus du secteur financier …,Postedil y a 8 jours
nouveauBusiness Data Analyst - Freelance,Veepee,Télétravail in Paris (75),,"You will be integrated in a team composed of 2 senior data analysts who will form and frame you, and 2 teams of 5 developers each, which will be in charge of…",Postedil y a 7 jours
Fullstack Developer - Freelance,Sumup,75010 Paris,,"As part of a team of 25 people, you will contribute to the POS products and solutions, essentially on our SaaS Web solutions (second and third points below), in…",Postedil y a 30+ jours
Game Developer - Optimization,Voodoo,Paris (75),,"Write robust Unity 3D code to be used by millions of users. Deconstruct and analyze mobile games mechanics. Work with Product Managers, Developers, and Artists…",Postedil y a 30+ jours
nouveauSenior Business Developer & Client Manager F/H - CDI,FABERNOVEL,Hybrid remote in Paris (75)+ 1 lieu,,"Cette Talent Company rassemble Designers, Strategists, Project Analysts, Developers, Data Analysts, Product Managers, Media Specialists, Finance Managers,…",Postedil y a 4 jours
nouveauBusiness Developer F/H,Talents Commerciaux,La Courneuve (93),,"30 - 35 k€ brut annuel. Engager le plan d'actions commercial (objectifs, ciblage des clients et prospection, moyens d'actions dédiés ...).",Postedil y a 3 jours
Business Developer Start Up Tech,Emerite RH,75009 Paris 9e,50 000 € - 65 000 € par an,"Trouver des idées pour améliorer les ventes avec l’équipe marketing,. Travailler en collaboration avec l’équipe CSM pour onboarder et suivre aux petits oignons…",Postedil y a 14 jours
API Architect - Open to Full Remote,Back Market,Télétravail in Paris (75),,A passion for creating tools to improve the developer experience of others. Hands-on experience one building tooling for developers/services / clients with a…,Postedil y a 30+ jours
Business Developer Freelance (Téléphonie/Internet),ALEXYIA,Télétravail in Paris 8e (75),1 500 € - 3 000 € par mois,"Alexyia est une Start-up située à Chalon-sur-Saône. Notre société est stimulante, audacieuse et agile. Vous êtes libre de votre planning et de vos horaires.",Postedil y a 30+ jours
nouveauUI/UX Designer (H/F/NB),Amplitude Studios,Paris (75),,"Excellent ability to work effectively within a team and interact with a large variety of profiles by understanding their limitations (developers, designers,…",Postedil y a 5 jours
nouveauBusiness Developer BtoB,Tracktl,Télétravail temporaire in 75018 Paris 18e,25 000 € - 40 000 € par an,"*+50 Webradio d’Entreprises sur mesure*, permettant aux collaborateurs de maintenir un lien social et de consommer des informations internes plus facilement via…",Postedil y a 2 jours
Senior Associate Producer (F/H/NB),Amplitude Studios,Paris (75),,"Development supervision by providing support to the production teams. Schedules’ / Planning elaboration and monitoring, tasks and issues prioritization and…",Postedil y a 22 jours
QA Engineer,Strapi,Paris (75),,"You will be part of the engineering team, collaborate with developers, designers, PMs, and EMs. In the digital age, content rules. Develop a global QA strategy.",Postedil y a 30+ jours
Business Developer H/F - Commercial,AJ FORMATION,75011 Paris 11e,,"Une start-up en mode familial : CFA Cloud Campus, spécialisée dans le développement Web et Mobile, cherche son/sa futur(e) Business développeur B2B afin d…",Postedil y a 14 jours
Client Developer H/F (CDI),Harris Interactive,Vincennes (94),,"Toluna entre dans une prochaine phase de croissance passionnante, nous sommes donc à la recherche d’un Client Developer dynamique pour conduire ce prochain…",Postedil y a 26 jours
Inside Sales,Skello,Paris (75),,Tu mènes tes démo et tes négociations jusqu’à signature du contrat. Tu participes à l’amélioration des process commerciaux.,Postedil y a 30+ jours
Business Developer Customer Intelligence - SDR,Happytal,Paris (75),,"En tant que Business Developer Customer Intelligence - SDR, tu partiras à la conquête des établissements de santé pour faire d’happytal un acteur clef de leur…",Postedil y a 14 jours
Full Stack Developer (H/F),Rakuten France,75002 Paris 2e,,Notre équipe de Développement a pour but d’implémenter les nouvelles fonctionnalités de notre site web et sa version mobile en mêlant du développement Backend…,Postedil y a 22 jours
Business Developer - SDR (H/F),Tankyou,Paris (75),,"Désormais, *la station service devient mobile* (plus besoin de se déplacer), intelligente (pour générer des gains de temps et d’argent) et écologique (nous…",Postedil y a 30+ jours
