Titre du poste,Entreprise,Adresse,Salaire,Decription,date
nouveauBUSINESS DEVELOPER - B TO B (F/H),CLAREO,Télétravail temporaire in 75008 Paris 8e,,Prospection et développement commercial (Dont des clients référencés). Assurer les rendez-vous physiques avec vos clients. Bac +5 (Master / MBA) (Optionnel).,Postedil y a 4 jours
nouveauData Scientist,Adevinta Group,Paris (75),,"Media Production / Data Science & Insights / Engineering. This means using cutting edge technology to create highly scalable, customisable and secure products…",PostedPubliée à l'instant
nouveauSenior Productivity Engineer (EngProd),Shift Technology,Paris (75),,"Regular interaction with infrastructure, developers and data scientists teams. At Shift Technology, we're transforming insurance with AI.",PostedPubliée à l'instant
Junior Front-End Developer,Critizr,75009 Paris 9e,,"Work closely in a small crew of great developers, product managers and designers. Today, thousands of retail professionals use Critizr to understand and engage…",Postedil y a 15 jours
React Developer Junior - CDI,Tarmac Technologies,Télétravail in 75013 Paris 13e,,"Under the supervision of a senior dev, your team of developers will work closely with one of the co-founder, in charge of the Product.",Postedil y a 19 jours
nouveauBusiness Developer B to B H/F,THE BEST OF HUMAN,Paris (75),,"Vous êtes responsable du développement de votre portefeuille clients sur les TPE/PME que vous aurez ciblées. Vous êtes chargé(e) de la *visite de ces prospects,…",Postedil y a 5 jours
nouveauBusiness Developer - Restauration Commerciale Chaînée F/H,welinkit,Paris 8e (75),71 000 € par an,"Notre client, filiale française d'un Groupe européen de l'édition de logiciels dédiés au secteur de la restauration, est leader en France sur son marché.",Postedil y a 3 jours
nouveauBusiness Developer Chasse H/F,Tomcat Talents,Télétravail in 92300 Levallois-Perret,28 000 € - 60 000 € par an,"T’offrir l’opportunité idéale de t’investir dans un projet ambitieux, épanouissant et avec de belles perspectives d’évolution. Type d'emploi : Temps plein, CDI.",Postedil y a 1 jour
nouveauBusiness Developer H/F,Shoppinette,Télétravail in Paris (75),,"Très bonne communication et toujours positif ! Type d'emploi : Temps plein, Stage. Bac +5 (Master / MBA) (Optionnel).",PostedAujourd'hui
"CDI, Business Developer, Commercial sédentaire (H/F)",assurances velo,Paris (75),1 500 € par semaine,Contribuer au développement de l'activité commerciale. La rémunération est comprise d'un fixe plus commissions en fonction de la production mensuelle.,Postedil y a 30+ jours
"Business Developer - Paris, Bordeaux H/F",ChooseMyCompany,Télétravail in 75017 Paris 17e,35 000 € par an,"Activer les résultats pour progresser - Plan d’actions -. Expert de la réputation, ChooseMyCompany collecte, analyse et publie les avis de salarié.es, étudiant…",Postedil y a 30+ jours
Innovation Business Developer,Mantu,Paris (75),,"Unlock your full potential, both professionally and personally.",Postedil y a 30+ jours
nouveauAlternance Business Developer H/F,79216106900044,75116 Paris 16e,,Etes en charge des partenariats du cabinet Elyas Conseil. Vous intégrez un bac+4 à bac +5 en école de commerce(e) et recherchez un contrat d’apprentissage /…,Postedil y a 8 jours
Data Engineer,Morgan Stanley,75008 Paris,,"The seamless collaboration between technologists and ISG personnel, including data scientists, financial engineers and quantitative analysts helps to deliver…",Postedil y a 15 jours
Business Developer H/F,Sinclair Ressources,75017 Paris 17e,29 000 € - 40 000 € par an,Présentation de nos solutions en recrutement et recueil des besoins de vos clients ; Négociation de votre prestation et des différents types de contrats de…,Postedil y a 11 jours
Commercial(le) terrain,Too Good To Go International,Paris (75),,"Nous recherchons un Business Developer, dédié, engagé, en charge de convaincre autant de commerçants que possible d'agir contre le gaspillage alimentaire à nos…",Postedil y a 11 jours
